"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\App.js", "JavaScript", 45, 0, 1, 5, 51
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\App.test.js", "JavaScript", 7, 0, 0, 2, 9
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\about\About.css", "CSS", 0, 25, 0, 1, 26
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\about\About.js", "JavaScript", 40, 0, 4, 8, 52
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\about\Feedback.css", "CSS", 0, 48, 0, 0, 48
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\about\Feedback.js", "JavaScript", 37, 0, 0, 4, 41
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\about\OurTeam.css", "CSS", 0, 100, 0, 15, 115
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\about\OurTeam.js", "JavaScript", 59, 0, 0, 5, 64
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\book-a-trip\Book-a-trip.css", "CSS", 0, 4, 0, 0, 4
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\book-a-trip\Book-a-trip.js", "JavaScript", 39, 0, 1, 3, 43
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\book-a-trip\BookingConfirmation.css", "CSS", 0, 12, 0, 0, 12
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\book-a-trip\BookingConfirmation.js", "JavaScript", 27, 0, 1, 3, 31
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\book-a-trip\BookingDetailsBox.css", "CSS", 0, 19, 0, 2, 21
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\book-a-trip\BookingDetailsBox.js", "JavaScript", 40, 0, 0, 2, 42
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\book-a-trip\SelectPaymentBox.css", "CSS", 0, 13, 0, 0, 13
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\book-a-trip\SelectPaymentBox.js", "JavaScript", 24, 0, 0, 2, 26
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\book-a-trip\TripCard.css", "CSS", 0, 28, 0, 3, 31
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\book-a-trip\TripCard.js", "JavaScript", 33, 0, 0, 2, 35
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\book-a-trip\TripPayment.css", "CSS", 0, 3, 0, 0, 3
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\book-a-trip\TripPayment.js", "JavaScript", 32, 0, 1, 3, 36
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\destinations\Destinations.css", "CSS", 0, 29, 0, 3, 32
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\destinations\Destinations.js", "JavaScript", 66, 0, 2, 8, 76
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\destinations\destination-details\DestinationAttractions.css", "CSS", 0, 10, 0, 0, 10
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\destinations\destination-details\DestinationAttractions.js", "JavaScript", 61, 0, 0, 5, 66
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\destinations\destination-details\DestinationDetails.css", "CSS", 0, 25, 0, 4, 29
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\destinations\destination-details\DestinationDetails.js", "JavaScript", 54, 0, 6, 13, 73
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\destinations\destination-details\DestinationDetailsIntro.js", "JavaScript", 30, 0, 1, 3, 34
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\destinations\destination-details\DestinationGuidelines.js", "JavaScript", 19, 0, 0, 4, 23
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\destinations\destination-details\DestinationHistory.js", "JavaScript", 13, 0, 0, 4, 17
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\destinations\destination-details\DestinationPhotos.css", "CSS", 0, 7, 0, 0, 7
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\destinations\destination-details\DestinationPhotos.js", "JavaScript", 51, 0, 0, 7, 58
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\footer\Footer.css", "CSS", 0, 34, 0, 1, 35
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\footer\footer.js", "JavaScript", 71, 0, 0, 5, 76
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\forum\AnswerArea.js", "JavaScript", 15, 0, 0, 3, 18
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\forum\AnswerCard.js", "JavaScript", 31, 0, 0, 4, 35
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\forum\AskQuestion.js", "JavaScript", 26, 0, 0, 5, 31
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\forum\Forum.css", "CSS", 0, 6, 0, 2, 8
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\forum\Forum.js", "JavaScript", 33, 0, 1, 10, 44
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\forum\QuestionCard.js", "JavaScript", 71, 0, 0, 20, 91
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\forum\QuestionDetail.js", "JavaScript", 19, 0, 0, 5, 24
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\forum\TopQuestion.js", "JavaScript", 14, 0, 7, 5, 26
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\forum\TopicCard.js", "JavaScript", 19, 0, 0, 3, 22
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\forum\TrendingTopic.css", "CSS", 0, 3, 0, 2, 5
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\forum\TrendingTopics.js", "JavaScript", 23, 0, 0, 4, 27
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\forum\answer-area.css", "CSS", 0, 5, 0, 1, 6
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\forum\answer-card.css", "CSS", 0, 44, 0, 8, 52
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\forum\ask-question.css", "CSS", 0, 5, 0, 1, 6
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\forum\question-card.css", "CSS", 0, 82, 0, 18, 100
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\forum\topic-card.css", "CSS", 0, 7, 0, 2, 9
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\header\Navbar.css", "CSS", 0, 25, 0, 2, 27
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\header\Navbar.js", "JavaScript", 59, 0, 0, 4, 63
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\header\Searchbar.css", "CSS", 0, 17, 0, 3, 20
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\header\Searchbar.js", "JavaScript", 16, 0, 0, 7, 23
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\homepage\Slider.css", "CSS", 0, 0, 0, 1, 1
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\homepage\Slider.js", "JavaScript", 37, 0, 0, 4, 41
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\homepage\homepage.css", "CSS", 0, 48, 3, 3, 54
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\homepage\homepage.js", "JavaScript", 95, 0, 3, 12, 110
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\login\Login.js", "JavaScript", 13, 0, 1, 5, 19
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\plan-a-trip\Plan-a-trip.js", "JavaScript", 13, 0, 1, 3, 17
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\profile\Profile.js", "JavaScript", 13, 0, 1, 3, 17
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\components\sign-up\Sign-up.js", "JavaScript", 13, 0, 1, 4, 18
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\index.css", "CSS", 0, 22, 0, 3, 25
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\index.js", "JavaScript", 12, 0, 3, 3, 18
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 2, 14
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic\src\setupTests.js", "JavaScript", 1, 0, 4, 1, 6
"Total", "-", 1283, 621, 42, 270, 2216
